Area,Bedrooms,Bathrooms,Age,Location,Price
1765,3,3,19,Hyderabad,10450000
2188,4,4,22,Vijayawada,8548000
615,1,1,9,Bengaluru,3654000
2053,3,3,26,Vijayawada,6431000
1269,2,2,10,Visakhapatnam,6743000
2071,4,4,8,Chennai,12214000
1204,3,2,8,Vijayawada,5260000
550,1,2,4,Bengaluru,4418000
642,1,1,25,Bengaluru,2966000
1731,3,4,0,Vijayawada,8397000
1869,3,3,16,Visakhapatnam,7037000
1112,1,2,21,Vijayawada,4380000
2115,3,3,1,Vijayawada,10135000
620,1,2,23,Hyderabad,2462000
1657,3,4,12,Visakhapatnam,8452000
913,2,2,8,Visakhapatnam,5438000
1276,2,3,28,Hyderabad,6210000
1731,4,3,3,Vijayawada,7507000
1141,1,1,4,Bengaluru,6650000
1450,1,1,10,Hyderabad,7159000
2354,4,4,23,Hyderabad,12106000
1325,3,3,18,Visakhapatnam,5383000
2243,4,4,20,Bengaluru,15186000
966,1,1,2,Hyderabad,4740000
2044,4,3,11,Chennai,12309000
2637,4,4,25,Chennai,15117000
550,1,1,18,Hyderabad,3504000
1182,2,2,18,Chennai,6262000
2075,4,4,12,Vijayawada,9120000
1568,2,2,27,Chennai,8950000
1941,4,4,6,Chennai,12828000
1307,3,3,14,Visakhapatnam,5694000
1756,2,2,22,Hyderabad,8560000
1599,3,4,6,Bengaluru,10034000
2459,4,4,25,Vijayawada,11369000
1865,3,2,7,Hyderabad,11133000
1919,3,2,4,Hyderabad,10591000
1432,2,1,20,Visakhapatnam,7193000
1383,2,2,13,Chennai,7824000
1419,3,3,3,Hyderabad,8645000
1956,3,3,22,Visakhapatnam,8547000
1426,2,1,9,Hyderabad,7839000
1888,3,4,19,Chennai,11117000
3049,3,4,14,Hyderabad,16109000
2266,4,3,17,Chennai,13885000
1488,1,1,19,Vijayawada,5904000
2481,4,4,12,Bengaluru,16830000
1435,2,2,28,Hyderabad,7290000
550,1,1,7,Vijayawada,1800000
1045,2,2,8,Hyderabad,6865000
550,1,1,15,Bengaluru,3014000
1472,2,2,18,Bengaluru,9333000
1712,3,3,15,Vijayawada,7465000
2790,5,4,6,Chennai,17026000
1913,3,4,13,Bengaluru,13021000
1558,2,2,27,Visakhapatnam,7052000
2239,4,4,13,Visakhapatnam,10227000
550,1,1,24,Hyderabad,3377000
1853,2,2,26,Hyderabad,9152000
2201,3,3,3,Bengaluru,14660000
739,2,1,25,Bengaluru,3935000
2443,4,3,14,Chennai,13833000
1920,3,3,2,Vijayawada,8997000
1430,2,2,4,Vijayawada,8066000
2111,3,4,0,Chennai,12606000
3176,5,4,2,Bengaluru,21791000
1818,3,3,14,Bengaluru,11470000
1861,3,4,23,Chennai,10630000
1401,3,2,26,Chennai,8858000
1148,2,3,7,Hyderabad,5747000
2240,3,3,30,Hyderabad,10628000
1144,2,1,28,Bengaluru,6536000
1747,3,2,3,Visakhapatnam,8618000
1390,2,2,1,Hyderabad,8094000
2011,3,3,28,Hyderabad,10612000
1917,3,3,23,Chennai,10852000
2374,4,3,23,Hyderabad,13131000
1368,2,2,9,Hyderabad,5505000
1525,2,1,3,Visakhapatnam,6444000
1064,1,2,2,Chennai,6248000
1411,3,4,1,Chennai,9345000
1945,3,3,24,Hyderabad,11142000
2192,4,4,16,Chennai,12340000
1101,1,1,22,Hyderabad,6202000
2265,5,4,20,Vijayawada,9219000
2581,4,4,23,Chennai,14764000
1969,4,4,19,Chennai,11939000
2920,4,3,22,Bengaluru,18282000
1197,2,3,12,Chennai,7725000
891,1,1,4,Visakhapatnam,3728000
550,1,2,30,Hyderabad,1977000
2672,5,4,29,Vijayawada,11470000
2125,3,3,20,Vijayawada,7991000
1664,3,4,29,Hyderabad,8820000
1882,3,2,8,Bengaluru,11089000
968,2,2,24,Vijayawada,4718000
3290,5,4,28,Bengaluru,21582000
1784,3,4,24,Chennai,11958000
1771,4,4,27,Chennai,11043000
2172,3,2,21,Visakhapatnam,8650000
2013,3,3,5,Visakhapatnam,9816000
1846,3,3,4,Visakhapatnam,8101000
1186,2,1,24,Hyderabad,6833000
2006,4,4,9,Chennai,11403000
2923,5,4,7,Vijayawada,11788000
2575,3,3,6,Hyderabad,13034000
2736,5,4,6,Chennai,16174000
1368,1,1,5,Hyderabad,6790000
1057,2,1,20,Bengaluru,5513000
1618,2,2,28,Bengaluru,10945000
1736,3,3,19,Bengaluru,11343000
2411,4,4,2,Vijayawada,10801000
600,1,1,18,Hyderabad,3823000
2694,4,4,21,Bengaluru,17334000
1597,3,3,14,Vijayawada,6152000
1423,2,1,3,Bengaluru,8092000
1042,1,1,27,Bengaluru,5292000
624,1,2,11,Bengaluru,4882000
2235,4,4,5,Vijayawada,8926000
1748,2,2,18,Vijayawada,7017000
862,2,2,30,Bengaluru,5566000
858,2,2,3,Vijayawada,4027000
1482,2,1,14,Hyderabad,7956000
2785,5,4,8,Visakhapatnam,13502000
1531,2,3,4,Bengaluru,10319000
723,1,1,12,Chennai,4975000
1540,2,1,22,Visakhapatnam,5656000
1523,2,1,25,Hyderabad,7681000
550,1,1,17,Chennai,1800000
1665,2,1,29,Bengaluru,8440000
1550,3,3,29,Hyderabad,7892000
2153,3,3,4,Visakhapatnam,10371000
2902,4,4,24,Bengaluru,19412000
2432,3,3,15,Chennai,15567000
1525,2,3,26,Chennai,9208000
981,1,1,18,Chennai,5636000
3373,5,4,13,Vijayawada,14184000
1738,3,4,24,Vijayawada,5963000
1709,2,2,29,Chennai,9060000
1684,4,4,15,Bengaluru,11955000
1829,3,3,26,Bengaluru,11914000
1606,2,2,14,Bengaluru,9231000
1327,1,1,21,Visakhapatnam,5670000
1345,3,3,3,Visakhapatnam,6922000
1679,2,1,6,Chennai,9900000
1347,1,1,15,Chennai,7300000
1237,2,2,23,Chennai,7155000
1769,4,3,21,Chennai,10705000
1534,3,3,20,Bengaluru,9294000
2678,4,4,21,Vijayawada,11205000
550,1,2,20,Vijayawada,1800000
2409,4,4,7,Hyderabad,12515000
2510,4,3,16,Visakhapatnam,10948000
550,1,2,15,Hyderabad,1800000
1477,2,2,26,Visakhapatnam,6678000
1459,2,1,22,Visakhapatnam,6215000
785,1,1,30,Vijayawada,2080000
1194,2,1,9,Visakhapatnam,6223000
978,1,2,9,Hyderabad,5235000
2839,4,4,26,Hyderabad,14123000
2308,3,2,1,Bengaluru,14769000
2527,3,2,30,Vijayawada,10647000
2169,3,3,29,Hyderabad,10729000
966,2,3,8,Visakhapatnam,4773000
1359,3,3,16,Chennai,8434000
2018,2,1,10,Hyderabad,11007000
906,1,1,9,Chennai,6651000
2163,4,4,21,Hyderabad,10948000
1544,2,2,24,Hyderabad,7089000
1456,2,2,16,Visakhapatnam,5547000
2162,4,3,3,Visakhapatnam,10079000
1989,3,3,15,Chennai,12228000
1465,2,2,19,Chennai,7468000
2454,3,3,14,Bengaluru,16348000
997,1,1,24,Visakhapatnam,3770000
2100,3,3,26,Vijayawada,7459000
2086,2,2,20,Chennai,10443000
1499,3,2,4,Vijayawada,5493000
1912,3,3,5,Visakhapatnam,8514000
887,2,2,16,Hyderabad,4542000
2301,4,3,0,Hyderabad,13920000
1580,3,3,30,Bengaluru,10165000
1360,2,1,24,Bengaluru,7527000
2382,3,3,18,Chennai,13875000
1242,2,2,3,Vijayawada,6412000
785,2,2,16,Hyderabad,5340000
688,1,1,8,Hyderabad,3393000
2094,3,3,30,Vijayawada,8639000
868,1,1,23,Visakhapatnam,4131000
2841,4,3,1,Chennai,15975000
550,1,1,7,Chennai,2802000
2803,5,4,14,Vijayawada,13265000
1837,2,3,6,Bengaluru,11704000
1637,2,2,26,Chennai,6953000
1346,2,2,5,Visakhapatnam,6134000
1959,4,3,0,Chennai,12781000
1676,2,2,14,Vijayawada,6651000
2417,4,4,22,Hyderabad,13463000
1774,2,2,25,Vijayawada,7253000
1798,3,3,6,Chennai,10528000
1464,2,3,28,Hyderabad,7015000
1663,4,3,29,Hyderabad,8812000
1900,2,1,24,Hyderabad,9636000
588,1,2,16,Hyderabad,2953000
824,2,1,1,Bengaluru,5616000
2183,4,4,26,Chennai,12028000
1811,3,2,8,Visakhapatnam,8775000
1580,2,3,28,Hyderabad,8346000
1712,3,3,8,Visakhapatnam,7113000
1926,3,3,12,Visakhapatnam,8509000
1349,3,2,5,Hyderabad,7680000
1194,3,3,5,Visakhapatnam,5512000
1827,3,3,19,Vijayawada,7775000
1064,1,1,19,Chennai,5550000
1965,3,3,20,Chennai,11314000
593,2,2,2,Hyderabad,3353000
2369,3,2,16,Vijayawada,8164000
2007,4,3,30,Chennai,9936000
1866,4,4,16,Visakhapatnam,9047000
2339,3,2,11,Bengaluru,15070000
2783,5,4,15,Chennai,16725000
2359,5,4,14,Hyderabad,13244000
550,1,1,12,Hyderabad,2879000
868,1,1,22,Chennai,5021000
1294,2,1,0,Hyderabad,7498000
1717,2,2,16,Visakhapatnam,8100000
2036,3,3,2,Bengaluru,13565000
1228,1,1,25,Visakhapatnam,4510000
1821,3,4,14,Vijayawada,7758000
1209,1,1,3,Chennai,6422000
1303,2,2,3,Visakhapatnam,5851000
786,1,1,17,Visakhapatnam,3200000
1100,2,2,16,Bengaluru,6967000
821,2,2,18,Vijayawada,3103000
1066,1,1,10,Bengaluru,5657000
2385,4,3,19,Bengaluru,15616000
1083,2,2,2,Hyderabad,6704000
3411,5,4,7,Hyderabad,19941000
2021,4,4,13,Hyderabad,11541000
1820,3,4,25,Hyderabad,9610000
1142,1,1,0,Hyderabad,5580000
2155,3,2,13,Chennai,13363000
1326,2,2,1,Hyderabad,7621000
1779,3,4,28,Vijayawada,7104000
3364,5,4,22,Bengaluru,21302000
1638,2,1,3,Hyderabad,8686000
2447,4,4,23,Bengaluru,16014000
1243,1,1,26,Vijayawada,3574000
1677,3,3,28,Hyderabad,9697000
2851,4,4,18,Chennai,17450000
1292,2,2,5,Chennai,7430000
2878,5,4,24,Bengaluru,17822000
2160,4,4,0,Chennai,11986000
1334,2,2,16,Chennai,6697000
2111,3,3,7,Vijayawada,9362000
2332,3,2,18,Hyderabad,12481000
2104,4,4,20,Chennai,12603000
679,1,1,0,Chennai,2903000
1227,3,3,4,Bengaluru,8110000
1539,3,3,26,Vijayawada,6881000
1652,3,3,15,Vijayawada,6755000
2103,3,3,5,Chennai,11675000
1816,3,3,7,Vijayawada,7665000
832,1,2,12,Bengaluru,4657000
1947,3,3,15,Bengaluru,12663000
2097,4,4,29,Vijayawada,8377000
2064,3,3,2,Chennai,12742000
2403,3,2,18,Chennai,12815000
2242,2,1,11,Hyderabad,11462000
1998,3,2,15,Bengaluru,13351000
1654,2,1,26,Visakhapatnam,5802000
620,1,1,10,Bengaluru,3142000
1979,3,3,9,Vijayawada,8433000
1835,4,3,24,Bengaluru,11803000
1877,3,3,19,Vijayawada,7238000
870,2,2,30,Hyderabad,3893000
997,2,3,3,Bengaluru,7143000
2385,4,4,11,Hyderabad,13769000
1674,3,3,22,Vijayawada,5964000
2143,3,2,1,Bengaluru,14268000
1718,3,3,23,Bengaluru,11729000
1719,3,3,21,Visakhapatnam,7481000
2310,3,2,18,Chennai,12384000
1365,3,4,24,Visakhapatnam,5318000
1762,3,3,4,Vijayawada,7527000
1400,2,2,7,Vijayawada,6488000
1418,2,1,6,Chennai,8184000
1499,2,2,13,Chennai,8662000
1844,3,3,23,Chennai,9774000
1389,2,1,22,Chennai,8127000
2516,4,4,2,Hyderabad,13469000
1119,2,1,17,Visakhapatnam,4369000
1579,2,1,15,Hyderabad,8575000
1414,3,2,22,Visakhapatnam,4765000
2641,5,4,18,Visakhapatnam,12219000
1828,3,2,18,Bengaluru,10808000
2371,4,3,17,Vijayawada,9743000
734,1,1,19,Hyderabad,3223000
1874,2,1,15,Hyderabad,11069000
2278,3,4,7,Chennai,13276000
1753,2,2,27,Chennai,10670000
2393,4,4,0,Hyderabad,14025000
1364,2,2,16,Hyderabad,6612000
2616,4,4,11,Chennai,15680000
3194,5,4,29,Hyderabad,16776000
1464,3,3,20,Bengaluru,9434000
1410,2,2,10,Chennai,7682000
2645,3,3,4,Hyderabad,15613000
2727,4,4,26,Hyderabad,15072000
1360,2,2,11,Bengaluru,8668000
1427,2,2,16,Vijayawada,6729000
1517,3,3,5,Vijayawada,6690000
826,2,1,0,Bengaluru,6315000
1103,2,2,4,Bengaluru,7323000
1047,1,1,24,Bengaluru,6207000
1201,3,3,27,Chennai,6628000
1677,3,4,13,Vijayawada,7167000
1852,3,3,4,Hyderabad,10501000
2708,4,4,21,Chennai,15194000
1051,1,1,23,Visakhapatnam,3754000
2340,3,4,26,Vijayawada,9095000
1561,2,2,0,Bengaluru,10428000
1668,3,2,29,Hyderabad,8419000
2139,3,3,17,Visakhapatnam,10265000
970,2,2,15,Hyderabad,5670000
1949,4,3,8,Visakhapatnam,9053000
1808,3,2,18,Hyderabad,10450000
2020,2,2,21,Hyderabad,11586000
1888,1,1,4,Hyderabad,8649000
3296,5,4,26,Chennai,19534000
1285,1,2,1,Chennai,7131000
1355,2,2,29,Visakhapatnam,5932000
1295,1,1,14,Bengaluru,8644000
1339,1,1,6,Vijayawada,4742000
1286,2,2,3,Vijayawada,4306000
2473,4,3,0,Bengaluru,16956000
2623,4,4,12,Hyderabad,14508000
1329,1,1,19,Bengaluru,6790000
1159,1,1,21,Hyderabad,7236000
2006,3,4,6,Bengaluru,13653000
1341,1,1,14,Hyderabad,7219000
2111,3,3,22,Bengaluru,14106000
1832,3,2,13,Visakhapatnam,7825000
715,1,1,22,Bengaluru,4048000
2706,4,3,18,Hyderabad,13664000
2867,4,4,21,Visakhapatnam,12398000
1302,3,3,28,Bengaluru,8243000
1448,2,3,23,Visakhapatnam,5059000
1886,3,3,19,Chennai,10383000
1917,2,1,28,Chennai,9632000
2128,3,3,23,Visakhapatnam,9338000
3007,4,4,17,Chennai,17818000
1585,2,2,30,Visakhapatnam,6848000
1181,3,3,9,Bengaluru,8556000
803,1,2,8,Hyderabad,5207000
1225,1,1,24,Vijayawada,4632000
1678,3,2,7,Bengaluru,12165000
2866,4,4,25,Bengaluru,18172000
1364,2,1,29,Visakhapatnam,5218000
1845,3,3,28,Chennai,10647000
1689,2,2,9,Vijayawada,6731000
2472,5,4,16,Hyderabad,14879000
3343,5,4,1,Visakhapatnam,16455000
1355,2,3,5,Vijayawada,6317000
1382,3,4,25,Visakhapatnam,6173000
2379,3,3,4,Hyderabad,12866000
2143,4,4,27,Bengaluru,13997000
2900,5,4,29,Bengaluru,17612000
